ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,4,16.0,0,2018,1,8.3,7.3,5.6,6.5,7.208,5.0,7.96875,4.7,6.5,1,6.776,1
2022,4,14.0,1,2017,2,7.1,9.8,5.6,7.6,7.5,10.0,7.96875,5.3,7.8,0,8.063,1
2022,4,14.0,0,2020,1,9.2,9.0,6.3,8.1,7.542,10.0,7.96875,7.0,7.2,0,8.253,1
2022,4,16.0,1,2018,2,9.2,9.7,5.6,7.9,7.833,5.0,7.96875,9.3,8.0,1,7.798,1
2022,4,15.0,1,2018,2,7.9,8.3,6.3,5.9,7.083,5.0,7.96875,4.7,8.2,1,6.917,1
2022,4,15.0,1,2018,1,7.5,5.1,6.3,3.2,4.792,5.0,7.96875,1.3,4.5,1,5.159,1
2022,4,14.0,1,2018,2,8.3,9.2,5.6,4.9,5.792,10.0,7.96875,3.7,6.7,0,7.007,1
2022,4,16.0,0,2022,1,7.5,6.8,7.5,5.5,6.875,5.0,7.96875,3.0,8.0,1,6.581,1
2022,4,14.0,1,2018,2,9.2,8.9,9.4,7.3,8.917,10.0,7.96875,6.0,7.7,0,8.673,1
2022,4,17.0,0,2019,2,8.3,9.2,6.9,7.9,9.25,2.5,7.96875,9.0,7.5,1,7.816,1
2022,4,15.0,1,2019,1,7.9,6.2,7.5,4.4,6.042,5.0,7.96875,4.0,5.3,1,6.075,1
2022,4,15.0,1,2018,2,8.3,9.2,5.6,5.9,5.833,5.0,7.96875,4.7,7.2,1,6.75,1
2022,3,13.0,1,2018,2,9.6,9.1,5.6,6.9,9.083,10.0,7.65625,5.1,6.8,0,8.427,1
2022,3,13.0,1,2022,1,7.9,8.8,4.4,6.8,6.958,10.0,7.65625,6.0,7.5,0,7.424,1
2022,3,13.0,1,2016,2,0.0,8.8,4.4,6.3,8.458,10.0,7.65625,6.2,5.3,0,7.025,1
2022,3,12.0,0,2022,1,7.5,9.2,7.5,6.1,8.042,10.0,7.65625,3.7,6.7,0,7.993,1
2022,3,12.0,0,2018,2,9.2,8.3,6.3,8.1,8.625,10.0,7.65625,7.7,8.3,0,8.442,1
2022,3,13.0,1,2019,2,9.2,9.5,8.8,6.8,8.458,10.0,7.65625,6.8,7.3,0,8.623,1
2022,3,16.0,1,2021,1,7.5,8.0,7.5,4.1,6.958,2.5,7.65625,1.3,5.7,1,6.328,1
2022,3,13.0,1,2022,1,8.3,8.8,7.5,3.8,7.25,10.0,7.65625,0.0,7.5,0,7.3,1
2022,3,16.0,0,2019,1,8.8,7.7,7.5,7.2,8.0,2.5,7.65625,5.0,7.3,1,7.28,1
2022,3,15.0,0,2021,1,7.9,7.7,7.5,4.5,6.875,5.0,7.65625,3.3,5.7,1,6.615,1
2022,3,13.0,1,2019,1,8.3,8.5,7.5,6.6,7.5,10.0,7.65625,6.0,5.7,0,7.832,1
2022,3,12.0,1,2019,2,8.8,8.9,7.5,5.8,7.917,10.0,7.65625,5.3,7.2,0,7.928,1
2022,3,14.0,0,2021,1,0.0,6.1,7.5,2.7,7.583,5.0,7.65625,3.0,3.2,1,5.307,1
2022,3,14.0,0,2018,2,10.0,9.7,5.0,7.2,7.333,5.0,7.65625,6.3,7.2,1,7.629,1
2022,3,13.0,1,2022,1,6.7,6.9,8.8,6.3,7.25,10.0,7.65625,5.0,7.5,0,7.335,1
2022,3,13.0,0,2019,2,10.0,9.4,8.8,7.2,8.5,10.0,7.65625,8.0,7.2,0,8.74,1
2022,3,15.0,0,2021,1,8.8,3.6,7.5,2.7,4.708,5.0,7.65625,1.7,4.7,1,4.932,1
2022,3,12.0,0,2016,2,9.2,8.9,5.6,6.7,8.5,10.0,7.65625,5.0,6.3,0,8.155,1
2022,3,14.0,1,2022,1,0.0,6.2,5.0,3.2,3.75,5.0,7.65625,3.7,5.8,1,4.265,1
2022,3,13.0,1,2017,2,8.8,9.2,5.0,6.3,8.25,10.0,7.65625,6.8,6.3,0,8.017,1
2022,3,12.0,0,2018,2,9.2,9.1,7.5,5.1,8.625,10.0,7.65625,4.0,6.0,0,8.124,1
2022,3,13.0,1,2021,2,8.8,9.7,4.4,7.3,8.292,10.0,7.65625,6.0,7.5,0,8.218,1
2022,3,13.0,0,2017,1,0.0,6.2,5.0,4.6,5.958,10.0,7.65625,5.2,5.8,0,5.554,1
2022,3,13.0,0,2022,1,8.3,7.1,7.5,7.5,6.458,10.0,7.65625,5.7,7.8,0,7.564,1
2022,3,15.0,0,2018,2,7.9,5.6,4.4,5.5,4.917,5.0,7.65625,4.7,5.0,1,5.705,1
2022,3,15.0,1,2021,1,7.9,7.3,7.5,6.5,7.542,5.0,7.65625,6.0,7.2,1,7.078,1
